组件名称              阶段        核心逻辑                         Order值                 分配原因
单会话激活           before  确保激活单会话（最先执行）                  10      before 阶段最小，最先执行，为后续操作铺垫会话基础
总结型滑动窗口        before  获取历史对话和摘要（无需上下文）             20      单会话激活后，优先获取历史，为提示词渲染提供素材
提示词渲染           before  渲染提示词，存入上下文                     30      历史获取后渲染提示词，确保上下文有完整提示词
存储                before  将用户问题放入上下文                       40      提示词渲染后，把用户问题存入上下文，供后续 token 统计 / 入库使用
Token 计数          before  计算提示词（输入）消耗的 token             50      上下文有完整提示词后，才能准确统计输入 token
切分                before  无逻辑                                  60      before 阶段最后执行，AI 调用前的 “收尾”，无逻辑不影响流程
（AI 核心）          -       AI 生成回复（核心逻辑，无 order）          -       所有 before 执行完后，调用 AI 核心
切分                after   AI 逐字输出变逐段，存入原始输出             60      after 阶段最大，最先执行，优先处理 AI 输出，存入上下文供后续使用
Token 计数          after   计算 AI 回复（输出）消耗的 token           50      切分处理完输出后，统计输出 token（依赖切分后的完整输出）
存储                after   入库（用户问题 + AI 回复，需上下文）         40      token 统计完成后，上下文有完整的输入 / 输出数据，适合入库
提示词渲染           after   无逻辑（会破坏上下文）                     30        入库后执行，无逻辑仅占位，不干扰上下文
总结型滑动窗口        after   决定是否总结（无需上下文）                  20      入库完成后总结历史，不影响核心数据流程
单会话激活           after   无逻辑                                  10      after 阶段最小，最后执行，无逻辑仅占位
